拼豆图纸用色清单
图纸尺寸：120 × 64 格
颜色种数：69 色
总珠子数：7,680 颗
生成时间：2026/5/12 14:19:23

色号	数量	占比
──────────────────────────────
H15	821	10.7%
A23	656	8.5%
H14	632	8.2%
H8	609	7.9%
H3	460	6.0%
E11	460	6.0%
M1	456	5.9%
H19	420	5.5%
M5	332	4.3%
H22	300	3.9%
M2	297	3.9%
M4	269	3.5%
H20	250	3.3%
G18	188	2.4%
M7	148	1.9%
G2	128	1.7%
E21	115	1.5%
F16	104	1.4%
M10	97	1.3%
H23	93	1.2%
F17	49	0.6%
H11	49	0.6%
B9	46	0.6%
M6	45	0.6%
M15	44	0.6%
F24	44	0.6%
E17	41	0.5%
H4	40	0.5%
F20	38	0.5%
E20	37	0.5%
H1	29	0.4%
H13	28	0.4%
G15	28	0.4%
E1	24	0.3%
F22	21	0.3%
B25	21	0.3%
D16	20	0.3%
F14	16	0.2%
B21	16	0.2%
E14	14	0.2%
M8	13	0.2%
H9	13	0.2%
B6	13	0.2%
E23	12	0.2%
M3	11	0.1%
E16	11	0.1%
M9	11	0.1%
C18	11	0.1%
G11	10	0.1%
C22	10	0.1%
B7	9	0.1%
M12	8	0.1%
H10	7	0.1%
G17	7	0.1%
M13	7	0.1%
H5	6	0.1%
G21	6	0.1%
H6	6	0.1%
G14	4	0.1%
M14	4	0.1%
B27	3	0.0%
G9	3	0.0%
F23	3	0.0%
G3	2	0.0%
H18	1	0.0%
G4	1	0.0%
G13	1	0.0%
G7	1	0.0%
E22	1	0.0%
